"Opportunity Owner";"Opportunity Name";"Account Name";"City";"Stage";"Fiscal Period";"Amount Currency";"Amount";"Probability (%)";"Age";"Created Date";"Close Date";"Stage Duration";"Opportunity ID";"Agreed spots";"Country";"Dedicated Spots";"Lead Source";"Amount (converted) Currency";"Amount (converted)";"Fixed Fee Amount (Monthly) Currency";"Fixed Fee Amount (Monthly)";"Fixed Fee / Revenue Share";"GarageID";"Launch Date";"Total ParkBee Spots";"Location"
"Sarah Rijken";"Kenaupark - Haarlem";"Boogaard Assurantiën BV";"Haarlem";"Contacted";"Q1-2019";"EUR";"";"25";"7,0000000000";"17-7-2018";"31-1-2019";"7,0000000000";"0065800000g1tZB";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"20";""
"Mitch Nijburg";"Zonnehof 10 - AMERSFOORT";"Heilijgers Projectontwikkeling";"Amersfoort";"Contacted";"Q3-2018";"EUR";"";"25";"27,0000000000";"27-6-2018";"30-9-2018";"27,0000000000";"0065800000f1Cuy";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"30";""
"Sarah Rijken";"Visschersplein - Utrecht";"Caron Real Estate";"Utrecht";"Contacted";"Q3-2018";"EUR";"13884,00";"25";"19,0000000000";"5-7-2018";"31-8-2018";"19,0000000000";"0065800000fV6tK";"";"NL";"";"";"EUR";"13884,00";"EUR";"";"Revenue Share";"";"";"10";""
"Sarah Rijken";"World Forum - Den Haag";"World Forum";"Den Haag";"Contacted";"Q1-2019";"EUR";"";"25";"7,0000000000";"17-7-2018";"31-1-2019";"7,0000000000";"0065800000g1yct";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Alex Murden";"AMC House";"*AMC House*";"";"Contacted";"Q2-2017";"EUR";"";"25";"473,0000000000";"7-4-2017";"31-5-2017";"473,0000000000";"0065800000FlJ9C";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"EUR";"";"";"";"";"";"12 Cumberland Avenue, Park Royal, London, NW10 7QL"
"Adrian Thomas";"Virgin Active - Locations TBC";"*Virgin Active*";"";"Contacted";"Q2-2017";"GBP";"";"25";"473,0000000000";"7-4-2017";"30-6-2017";"473,0000000000";"0065800000FlFWE";"";"UK";"";"Cold Call";"EUR";"";"GBP";"";"";"";"";"";"100 Aldersgate Street,"
"Alex Murden";"Holloway School (London N1)";"HOLLOWAY SCHOOL";"";"Contacted";"Q2-2017";"GBP";"";"25";"473,0000000000";"7-4-2017";"31-5-2017";"473,0000000000";"0065800000FlIJO";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"a0D580000060Rse"
"Alex Murden";"Prospect Studios - (London, SW13)";"Prospect Studios";"";"Contacted";"Q2-2017";"GBP";"";"25";"473,0000000000";"7-4-2017";"31-5-2017";"473,0000000000";"0065800000FlHlQ";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Barnes High Street, London, SW13 9LE"
"Alex Murden";"St John's Church - (London,E2)";"St John's Church, Hoxton.";"";"Contacted";"Q2-2017";"GBP";"";"25";"473,0000000000";"7-4-2017";"31-5-2017";"473,0000000000";"0065800000FlIXF";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Pitfield St, London N1 6NP"
"Alex Murden";"Travelodge Liverpool St - (London, E1)";"Travelodge Liverpool Street";"";"Contacted";"Q2-2017";"GBP";"";"25";"473,0000000000";"7-4-2017";"30-4-2017";"473,0000000000";"0065800000FlJAx";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"1 Harrow Pl, London E1 7DB"
